1,h2o,"(1.0, 1.0)"
1,atp,"(0.0027895499407895002, 0.02)"
1,nadph,"(7.300319929157526e-05, 0.0002310040403855982)"
1,nadp,"(0.00010000000000000009, 0.00010000000000000009)"
1,adp,"(9.999999999999991e-05, 9.999999999999991e-05)"
1,pi,"(0.010000000000000014, 0.010000000000000014)"
1,co2,"(1.0000000000000016e-05, 1.0000000000000016e-05)"
1,pyr,"(1.0000000000000023e-06, 1.8535463326125816e-05)"
1,glc-D,"(9.999999999999987e-07, 6.396350259344682e-05)"
1,pep,"(1.0000000000000023e-06, 1.0000000000000059e-06)"
1,acald,"(0.00632051276416776, 0.02)"
1,f6p,"(9.99999999999997e-07, 7.621202651454804e-06)"
1,g6p,"(0.00038123228149496515, 0.002905448474549591)"
1,g1p,"(0.002624257733939438, 0.02)"
1,dhap,"(0.0012545997161054773, 0.011409316099612463)"
1,g3p,"(1.0000000000000004e-06, 3.015624158497972e-06)"
1,cellb,"(0.010000000000000004, 0.010000000000000004)"
1,3pg,"(0.019999999999999914, 0.019999999999999966)"
1,fdp,"(0.0005110551272764688, 0.004647529739226143)"
1,etoh,"(1.0, 1.0)"
1,2pg,"(2.6479993112374765e-05, 2.6479993112374765e-05)"
 
2,h2o,"(1.0, 1.0)"
2,atp,"(0.019999999999999976, 0.02000000000000001)"
2,nadph,"(2.8764593248941628e-05, 0.010000000000000004)"
2,nadp,"(0.00010000000000000009, 0.00010000000000000009)"
2,adp,"(0.00010000000000000026, 0.00010000000000000045)"
2,pi,"(0.010000000000000004, 0.010000000000000004)"
2,co2,"(9.999999999999997e-06, 9.999999999999997e-06)"
2,pyr,"(9.99999999999997e-07, 4.2262828484516e-05)"
2,glc-D,"(2.079788389403471e-06, 0.00104564244753253)"
2,gdp,"(9.999999999999991e-05, 0.00010000000000000026)"
2,gtp,"(0.001000000000000002, 0.001000000000000002)"
2,pep,"(9.999999999999987e-07, 6.441207823346896e-06)"
2,acald,"(5.752918649788296e-05, 0.02)"
2,f6p,"(1.0000000000000004e-06, 2.242239648824026e-05)"
2,g6p,"(0.00015021247858974625, 0.0033681237524205874)"
2,g1p,"(0.0004074170257987232, 0.020000000000000028)"
2,dhap,"(0.0004943351918026992, 0.02)"
2,g3p,"(1.0000000000000023e-06, 1.5876865979103285e-05)"
2,cellb,"(0.009999999999999978, 0.009999999999999978)"
2,3pg,"(0.0031050077172650333, 0.02)"
2,fdp,"(7.934150570706494e-05, 0.019999999999999993)"
2,etoh,"(1.0, 1.0)"
2,2pg,"(1.0433600698375644e-05, 6.720499044405468e-05)"
 
3,h2o,"(1.0, 1.0)"
3,atp,"(0.0009999999999999985, 0.0023968847422489946)"
3,nad,"(9.999999999999991e-05, 9.999999999999991e-05)"
3,nadh,"(2.856798596817627e-06, 2.856798596817637e-06)"
3,adp,"(0.00010000000000000009, 0.00010000000000000009)"
3,pi,"(0.010000000000000014, 0.010000000000000014)"
3,co2,"(9.999999999999997e-06, 9.999999999999997e-06)"
3,pyr,"(1.0000000000000004e-06, 0.006792530041920383)"
3,glc-D,"(1.0000000000000023e-06, 0.019999999999999993)"
