1,h2o,1,1,,,,,
1,atp,0.002214067,0.01,22.14067255,,,,
1,nadph,7.30E-05,0.000163345,,,,,
1,nadp,0.0001,0.0001,,,,,
1,adp,0.0001,0.0001,22.14067255,,,,
1,pi,0.01,0.01,,,,,
1,co2,1.00E-05,1.00E-05,,,,,
1,pyr,1.00E-06,2.34E-05,,,,,
1,glc-D,1.00E-06,7.63E-05,,,,,
1,pep,1.00E-06,1.00E-06,,,,,
1,acald,0.008938555,0.02,,,,,
1,f6p,1.68E-06,7.62E-06,,,,,
1,g6p,0.000638982,0.002905448,,,,,
1,g1p,0.00439851,0.02,,,,,
1,dhap,0.0012546,0.005704658,,,,,
1,g3p,1.00E-06,2.13E-06,,,,,
1,cellb,0.00026204,0.02,,,,,
1,3pg,0.02,0.02,,,,,
1,fdp,0.000511055,0.002323765,,,,,
1,etoh,1,1,,,,,
1,2pg,2.65E-05,2.65E-05,,,,,
 ,,,,,,,,
2,h2o,1,1,,,,,
2,atp,0.01,0.01,100,,,,
2,nadph,7.06E-05,8.47E-05,22.14067255,,,,
2,nadp,0.0001,0.0001,,,,,
2,adp,1.00E-04,1.00E-04,,,,,
2,pi,0.01,0.01,,,,,
2,co2,1.00E-05,1.00E-05,,,,,
2,pyr,1.00E-06,5.72E-06,,,,,
2,glc-D,9.33E-05,9.33E-05,,,,,
2,gdp,0.0001,0.0001,,,,,
2,gtp,0.000203703,0.000203703,,,,,
2,pep,1.00E-06,1.07E-06,,,,,
2,acald,0.016675704,0.02,,,,,
2,f6p,1.52E-06,1.52E-06,,,,,
2,g6p,0.000559041,0.000559041,,,,,
2,g1p,0.003721764,0.003721764,,,,,
2,dhap,0.001213372,0.001213372,,,,,
2,g3p,1.00E-06,1.00E-06,,,,,
2,cellb,0.02,0.02,,,,,
2,3pg,0.018707137,0.02,,,,,
2,fdp,0.000478019,0.000478019,,,,,
2,etoh,1,1,,,,,
2,2pg,2.56E-05,2.74E-05,,,,,
 ,,,,,,,,
3,h2o,1,1,,,,,
3,atp,8.62E-06,0.002396885,0.086150202,,,,
3,nad,0.0001,0.0001,,,,,
3,nadh,2.86E-06,2.86E-06,,,,,
3,adp,1.00E-04,1.00E-04,,,,,
3,pi,0.01,0.01,,,,,
3,co2,1.00E-05,1.00E-05,,,,,
3,pyr,1.00E-06,0.02,,,,,
3,glc-D,1.00E-06,0.02,,,,,
3,pep,1.00E-06,0.000400272,,,,,
3,acald,0.02,0.02,,,,,
3,f6p,7.18E-06,0.001998585,,,,,
3,g6p,7.19E-05,0.02,,,,,
3,dhap,0.007848494,0.007848494,,,,,
3,g3p,0.000238322,0.000238322,,,,,
3,cellb,1.00E-06,0.02,,,,,
3,3pg,1.98E-05,0.005515954,,,,,
3,13dpg,1.00E-06,1.00E-06,,,,,
3,fdp,0.02,0.02,,,,,
3,etoh,1,1,,,,,
3,2pg,1.00E-06,0.000278222,,,,,
 ,,,,,,,,
4,h2o,1,1,,,,,
4,atp,7.42E-05,7.42E-05,0.672990868,,,,
4,nad,0.0001,0.0001,,,,,
4,nadh,0.000202347,0.01,,,,,
4,nadph,0.000110328,0.000228858,,,,,
4,nadp,0.0001,0.0001,,,,,
4,adp,0.0001,0.0001,,,,,
4,pi,0.01,0.01,,,,,
4,coa,1.00E-04,1.00E-04,,,,,
4,co2,1.00E-05,1.00E-05,,,,,
4,pyr,0.001002966,0.002080506,,,,,
4,accoa,0.000404695,0.02,,,,,
4,glc-D,0.002424613,0.02,,,,,
4,pep,1.00E-06,2.07E-06,,,,,
4,acald,0.00015113,0.007468834,,,,,
4,f6p,7.56E-05,7.56E-05,,,,,
4,g6p,0.02,0.02,,,,,
4,dhap,0.000871091,0.000871091,,,,,
4,g3p,1.00E-06,1.00E-06,,,,,
4,fdxrd,0.000316005,0.002221491,,,,,
4,fdxox,0.0001,0.0001,,,,,
4,cellb,3.05E-06,0.02,,,,,
4,3pg,0.009641556,0.02,,,,,
4,fdp,0.000246368,0.000246368,,,,,
4,etoh,1,1,,,,,
4,2pg,1.84E-05,3.81E-05,,,,,
 ,,,,,,,,
5,h2o,1,1,,,,,
5,atp,7.42E-05,7.42E-05,0.672990868,,,,
5,nad,0.0001,0.0001,,,,,
5,nadh,0.000202347,0.01,,,,,
5,nadph,0.000110328,0.000228858,,,,,
5,nadp,0.0001,0.0001,,,,,
5,adp,1.00E-04,1.00E-04,,,,,
5,pi,0.01,0.01,,,,,
5,coa,0.0001,0.0001,,,,,
5,co2,1.00E-05,1.00E-05,,,,,
5,pyr,0.001002966,0.002080506,,,,,
5,accoa,0.000404695,0.02,,,,,
5,glc-D,0.002424613,0.02,,,,,
5,pep,1.00E-06,2.07E-06,,,,,
5,acald,0.004429592,0.009188543,,,,,
5,f6p,7.56E-05,7.56E-05,,,,,
5,g6p,0.02,0.02,,,,,
5,dhap,0.000871091,0.000871091,,,,,
5,g3p,1.00E-06,1.00E-06,,,,,
5,fdxrd,0.000316005,0.002221491,,,,,
5,fdxox,0.0001,0.0001,,,,,
5,cellb,3.05E-06,0.02,,,,,
5,3pg,0.009641556,0.02,,,,,
5,fdp,0.000246368,0.000246368,,,,,
5,etoh,1,1,,,,,
5,2pg,1.84E-05,3.81E-05,,,,,
 ,,,,,,,,
6,h2o,1,1,,,,,
6,atp,8.62E-06,0.002396885,,,,,
6,nad,0.0001,0.0001,,,,,
6,nadh,2.86E-06,2.86E-06,,,,,
6,adp,0.0001,0.0001,,,,,
6,pi,0.01,0.01,,,,,
6,co2,1.00E-05,1.00E-05,,,,,
6,pyr,1.00E-06,0.02,,,,,
6,glc-D,1.00E-06,0.02,,,,,
6,gdp,0.0001,0.0001,,,,,
6,gtp,1.00E-06,0.001798937,,,,,
6,pep,1.00E-06,0.000400272,,,,,
6,acald,0.02,0.02,,,,,
6,f6p,7.18E-06,0.001998585,,,,,
6,g6p,7.19E-05,0.02,,,,,
6,dhap,0.007848494,0.007848494,,,,,
